,sentiment,emotion,Text
22217,neutral,anticipation,"ਇਸ ਇੰਟਰਵਿਊ ਵਿੱਚ, @insideHPC, @Dell ਦੀ ਤਰਫੋਂ, ਸਾਡੇ @carolsongpu ਨਾਲ @LifeAtPurdue ਦੇ ਨਵੇਂ ਐਨਵਿਲ ਸੁਪਰਕੰਪਿਊਟਿੰਗ ਕਲੱਸਟਰ ਬਾਰੇ ਗੱਲ ਕੀਤੀ। https://t.co/89OkZDzq9N"
19556,negative,anger,@Dell ਪਰਿਭਾਸ਼ਿਤ ਕਰੋ ਕਿ ਗਾਹਕ ਸੇਵਾ ਕੀ ਹੈ? ਅੰਦਾਜ਼ਾ ਲਗਾਓ ਕਿ ਤੁਸੀਂ ਲੋਕ @DellCaresPRO ਨੂੰ ਨਹੀਂ ਜਾਣਦੇ
13413,positive,joy,"@intelcanada @Dell ਮੇਰੀ ਮੰਮੀ ਨੂੰ ਟੈਕਸਾਂ, ਫਿਲਮਾਂ ਲਈ ਇੱਕ ਲੈਪਟਾਪ ਦੀ ਲੋੜ ਹੈ, ਪਰ ਇਸ ਤੋਂ ਵੀ ਮਹੱਤਵਪੂਰਨ ਉਸਦੀਆਂ ਮਾਹਜੋਂਗ ਗੇਮਾਂ!"
20949,negative,anger,@davekessel @Dell @DellCares ਨਹੀਂ ਅਤੇ ਉਹ ਇਸ ਨੂੰ ਠੀਕ ਕਰਨ ਦੇ ਯੋਗ ਨਹੀਂ ਜਾਪਦੇ।
4382,negative,anger,@Dell ਤੁਹਾਡੇ ਇੱਕ tecs ਨੇ ਮੈਨੂੰ ਦੱਸਿਆ ਹੈ ਕਿ Costco Dell PCs ਵਿੱਚ ਵੇਚੇ ਜਾਣ ਵਾਲੇ ਸਾਰੇ ਰੈਮ ਨੂੰ ਬਦਲ ਦਿੰਦਾ ਹੈ। ਦਾਅਵਾ ਕੀਤਾ ਕਿ ਉਹਨਾਂ ਨੇ 2900GHz ਨੂੰ ਬਾਹਰ ਕੱਢਿਆ ਅਤੇ ਇਸਨੂੰ 3200ghz ਨਾਲ ਬਦਲ ਦਿੱਤਾ ਅਤੇ ਮੈਨੂੰ ਕੋਸਟਕੋ ਨਾਲ ਸੰਪਰਕ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ ਅਤੇ ਪੁੱਛਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਕਿਉਂ। WTF ਤੁਹਾਡੇ ਲੋਕਾਂ ਨੂੰ ਕੌਣ ਸਿਖਲਾਈ ਦੇ ਰਿਹਾ ਹੈ?
11132,negative,anger,"@HP, @Oracle, @AmericanAir, @SouthwestAir, @WholeFoods, @Dell, @HEB, @Tesla
ਹੋਰ ਕਰਨ ਦਾ ਸਮਾਂ.
ਤੁਸੀਂ ਕਿੱਥੇ ਖੜੇ ਹੋ - NRA ਜਾਂ USA ਦੇ ਲੋਕਾਂ ਨਾਲ? ਕੀ ਤੁਹਾਨੂੰ ਲਗਦਾ ਹੈ ਕਿ ਪੀਪੀਐਲ ਕੋਲ ਅਮਰੀਕਾ ਦੀਆਂ ਸੜਕਾਂ 'ਤੇ ਹਮਲਾ ਕਰਨ ਵਾਲੇ ਹਥਿਆਰ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ? ਕਤਲੇਆਮ ਨੂੰ ਰੋਕਣ ਲਈ ਬਿੱਲਾਂ ਨੂੰ ਰੋਕਣ ਵਾਲੇ #GOP ਨੂੰ ਕੋਈ $$$ ਨਹੀਂ। https://t.co/fXSInU4Pz9"
8948,negative,anger,"@dell ਨਾਲ ਦੁਰਵਿਵਹਾਰ ਕੀਤਾ ਗਿਆ ਗਲਤ ਆਰਡਰ ਨੂੰ ਰੱਦ ਨਹੀਂ ਕਰੇਗਾ ਜੋ ਉਹ ਇਸ ਨੂੰ ਜਾਂਦੇ ਸਮੇਂ ਭੇਜਣਾ ਚਾਹੁੰਦੇ ਹਨ
ਮੇਰੇ ਸਿਰ ਵਿੱਚ ਗੋਲਫ ਬਾਲ ਪਾਓ
ਡੇਲਸ ਸੇਲਸਫੋਰਸ ਦੁਆਰਾ ਦੁਰਵਿਵਹਾਰ ਕੀਤਾ ਗਿਆ
ਮਦਦ https://t.co/SYDBp28PxN"
2264,negative,anger,@Dell @DellCares ਤੁਹਾਡੀ ਗਾਹਕ ਦੇਖਭਾਲ ਸੇਵਾ ਸਿਰਫ਼ ਘਿਣਾਉਣੀ ਹੈ। ਮੈਂ ਇਸ ਮਾੜੀ ਗੁਣਵੱਤਾ ਵਾਲੀ ਸੇਵਾ ਤੋਂ ਨਿਰਾਸ਼ ਹਾਂ।
18728,negative,anger,"@Dell ਤੋਂ ਅਵਿਸ਼ਵਾਸ਼ਯੋਗ ਤੌਰ 'ਤੇ ਮਾੜਾ ਜਵਾਬ ਅਤੇ ਸੇਵਾ। ਅਗਲੇ ਦਿਨ ਡਿਲੀਵਰੀ ਲਈ ਇੱਕ ਲੈਪਟਾਪ ਆਰਡਰ ਕੀਤਾ ਅਤੇ ਇਹ ਕੋਈ ਸ਼ੋਅ ਨਹੀਂ ਹੈ। ਕੋਈ ਮੁਆਫ਼ੀ ਨਹੀਂ, ਕੋਈ ਹੱਲ ਨਹੀਂ, ਕੋਈ ਮੁਆਵਜ਼ੇ ਦੀ ਪੇਸ਼ਕਸ਼ ਨਹੀਂ ਅਤੇ ਅੰਤ ਵਿੱਚ ਜ਼ਿੰਮੇਵਾਰੀ ਸਵੀਕਾਰ ਨਹੀਂ ਕੀਤੀ ਗਈ। ਬਿਲਕੁਲ ਆਖਰੀ ਵਾਰ ਜਦੋਂ ਮੈਂ ਉਨ੍ਹਾਂ ਨਾਲ ਆਰਡਰ ਕਰਦਾ ਹਾਂ."
3535,neutral,anticipation,#facebookdown @TheRock @steveaustinBSR  @WWEUniverse  @JohnCena #psndown @Microsoft @playstation @starwars @Dell @CountryMusic @_KennyRogers @ScienceNews @StarTrek #kennyrogers 45.2 ਖੇਡ ਰਿਹਾ ਹੈ if the luckd the tv kenny rogers
10974,negative,disgust,"@Dell ਅੱਜ ਤੱਕ ਦਾ ਸਭ ਤੋਂ ਭੈੜਾ ਤਜਰਬਾ, ਮੈਂ ਲਗਭਗ 20 ਸਾਲਾਂ ਤੋਂ ਡੈਲ ਪ੍ਰਣਾਲੀਆਂ ਦੀ ਵਰਤੋਂ ਕਰ ਰਿਹਾ ਹਾਂ ਪਰ ਇਸ ਵਾਰ ਇਹ ਇੱਕ ਗਲਤੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਦਾ ਹੈ. ਹੁਣੇ ਇੱਕ ਨਵਾਂ ਲੈਪਟਾਪ ਖਰੀਦਿਆ ਹੈ ਅਤੇ ਬਿਨਾਂ ਕਿਸੇ ਸਮੱਸਿਆ ਦੇ ਇੱਕ ਮਿੰਟ ਲਈ ਵੀ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕਦਾ ਹੈ। ਲੱਗਦਾ ਹੈ ਕਿ ਹੁਣ ਡੈਲ ਨੂੰ ਸਿਰਫ਼ ਵੱਖੋ-ਵੱਖਰੇ ਤਰੀਕੇ ਨਾਲ ਪੈਸਾ ਕਮਾਉਣ ਦੀ ਚਿੰਤਾ ਹੈ"
16331,negative,anger,ਇਸ ਤੋਂ ਇਲਾਵਾ ਸਰਸ @ ਮਾਈਕਲਡੇਲ @ ਅਲੋਕ ਓਹਰੀ @ ਡੈਲ ਹੇਠਾਂ ਦਿੱਤਾ ਜਵਾਬ ਹੈ ਮੈਨੂੰ ਡੈਲ ਤੋਂ ਇਹ ਕਿਹਾ ਗਿਆ ਹੈ ਕਿ ਉਹ 3-5 ਵਜੇ ਸੰਪਰਕ ਕਰਨਗੇ। ਕੋਈ ਕਾਲ ਨਹੀਂ! ਮੈਂ ਉਸ ਸਮੇਂ ਤੋਂ ਬਹੁਤ ਬਾਅਦ ਲਿਖਣਾ ਸ਼ੁਰੂ ਕੀਤਾ! (ਮੈਨੂੰ ਉਸ ਸਮੇਂ ਤੋਂ ਪਹਿਲਾਂ ਇੱਕ ਅਣਜਾਣ ਮਿਸਡ ਕਾਲ ਮਿਲੀ) ਮੈਂ ਵਾਪਸ ਕਾਲ ਕੀਤੀ ਪਰ ਕੋਈ ਜਵਾਬ ਨਹੀਂ ਅਤੇ ਫਿਰ ਮੈਂ ਇਸਨੂੰ ਹੋਰ ਨਹੀਂ ਸੰਭਾਲ ਸਕਿਆ... https://t.co/57zD4X1DMg
16569,positive,joy,@OKIN_17 @RoninDojoNode @Dell @ubuntu ਕਾਤਲ! ਇਸ ਨੂੰ ਦੇਖਣਾ ਪਸੰਦ ਹੈ 👊
16763,negative,anger,"@DrinkRobinsons @Herschelsupply @Dell ਮੈਂ ਚਿੰਤਾ ਦੀ ਪ੍ਰਸ਼ੰਸਾ ਕਰਦਾ ਹਾਂ, ਪਰ ਇਹ ਮੇਰੀ ਆਪਣੀ ਬੋਤਲ ਸੀ ਜੋ ਮੈਂ ਸੁਰੱਖਿਅਤ ਢੰਗ ਨਾਲ ਬੰਦ ਨਹੀਂ ਕੀਤੀ ਸੀ - ਪੂਰੀ ਤਰ੍ਹਾਂ ਮੇਰਾ ਕਸੂਰ!"
9530,positive,joy,"""ਕੀ ਹੋਵੇਗਾ ਜੇਕਰ ਤੁਹਾਨੂੰ ਓਪਰੇਟਿੰਗ ਸਿਸਟਮਾਂ ਵਿੱਚ ਕੰਮ ਕਰਨ ਦੀ ਲੋੜ ਹੈ ਅਤੇ ਚਿੱਤਰ ਗੁਣਵੱਤਾ ਵਿੱਚ ਇੱਕ ਵਿਲੱਖਣ ਬੂਸਟ ਦੇ ਨਾਲ ਇੱਕ ਸਟਾਈਲਿਸ਼ ਡਿਸਪਲੇ ਚਾਹੁੰਦੇ ਹੋ? @Dell UltraSharp U2723QE ਦਾਖਲ ਕਰੋ।"" https://t.co/BBephwGCei #iwork4dell"
20824,positive,joy,"@Psy_Fer_ @Cas9Bandit @AlexKneubehl @Dell @nanopore @Alienware ਹਾਂ, ਮੈਂ ਹੁਣ ਲੰਬੇ ਸਮੇਂ ਤੋਂ ਡੈਲ ਦੀ ਵਰਤੋਂ ਕਰ ਰਿਹਾ ਹਾਂ ਅਤੇ ਅਜੀਬ ਵਿਅੰਗ ਤੋਂ ਇਲਾਵਾ ਇਹ ਨਿਕਸ ਨੂੰ ਸੁਚਾਰੂ ਢੰਗ ਨਾਲ ਚਲਾ ਰਿਹਾ ਹੈ। 👍"
7760,negative,anger,@BillieO2 @Dell @IncConnection ਮੈਨੂੰ ਨਹੀਂ ਪਤਾ। ਮੈਂ ਉਮੀਦ ਕਰ ਰਿਹਾ ਹਾਂ ਕਿ ਟਵਿੱਟਰ 'ਤੇ ਇੱਥੇ ਕੁਝ ਮਾਹਰ ਮੈਨੂੰ ਵੱਖਰੇ ਢੰਗ ਨਾਲ ਦੱਸੇਗਾ। ਮੈਂ @IncConnection &amp; @DellCares
386,positive,joy,@HETTShow #hett2022 ਲਈ ਨਿੱਘਾ ਧੰਨਵਾਦ @SarahAMarsden @Dell 🙏 https://t.co/9pHWEGPJxT
15952,positive,joy,"@CTOAdvisor @NetApp @Dell @HPE ਖੈਰ, ONTAP ਦਾ ਮੁੱਲ ਮਹੱਤਵਪੂਰਨ ਹੈ ਅਤੇ ਇਹ ਨਿਸ਼ਚਿਤ ਤੌਰ 'ਤੇ NetApp ਦੀ ਸਭ ਤੋਂ ਵੱਡੀ ਸੰਪਤੀ ਹੈ। ਇਹ ਬਹੁਤ ਸਾਰੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਏਕੀਕ੍ਰਿਤ ਅਤੇ ਉਪਯੋਗੀ ਭਾਗਾਂ ਦੇ ਨਾਲ ਸਾਫਟਵੇਅਰ ਦਾ ਇੱਕ ਬਹੁਤ ਵਧੀਆ ਟੁਕੜਾ ਹੈ। ਅਤੇ ਮੈਨੂੰ ਉਮੀਦ ਹੈ ਕਿ ਉਹਨਾਂ ਨੂੰ AWS ਤੋਂ ਉਹ ਮੁੱਲ ਮਿਲਿਆ ਜਿਸ ਦੇ ਉਹ ਹੱਕਦਾਰ ਹਨ। ਪਰ ਆਪਣੇ ਗ੍ਰਹਿਣ ਨਾਲ ਇੱਕ ਫਿੱਟ? ਅਤੇ ਜਾਂ ਤਾਂ ਡ੍ਰਾਈਵਿੰਗ ਵਿਕਾਸ?"
5995,positive,joy,"@Dell Ayo Dell, ਮੈਨੂੰ ਇਸ ਵਿਗਿਆਪਨ ਲਈ ਕਾਸਟ ਪਸੰਦ ਹੈ, ਜੋ ਵੀ ਇੰਚਾਰਜ ਸੀ ਉਹ ਜਾਣਦਾ ਹੈ ਕਿ ਕੀ ਹੋ ਰਿਹਾ ਹੈ"
3320,negative,disgust,"ਇਸ ਲਈ @Dell @DellCares ਨੇ ਮੇਰੇ $1300 ਮਾਨੀਟਰ ਲਈ ਇੱਕ RMA ਜਾਰੀ ਕੀਤਾ, ਸ਼ਿਪਿੰਗ ਲੇਬਲ 'ਤੇ ਵਾਪਸੀ ਦਾ ਪਤਾ ਪਿਛਲੇ ਮਾਲਕ ਦਾ ਪਤਾ ਹੈ। ਡੇਟਾ ਗੋਪਨੀਯਤਾ ਨੂੰ ਪਾਸੇ, ਇਹ ਸਿਰਫ ਤਬਾਹੀ ਲਈ ਇੱਕ ਨੁਸਖਾ ਹੈ! ਜੇਕਰ ਸ਼ਿਪਿੰਗ ਸਮੱਸਿਆਵਾਂ ਹਨ ਅਤੇ ਇਹ ਭੇਜਣ ਵਾਲੇ ਨੂੰ ਵਾਪਸ ਕਰ ਦਿੱਤਾ ਜਾਂਦਾ ਹੈ..."
13789,neutral,disgust,@GrowlyBiteBite @PhilosoShy @Zachary18754700 @LUForPresident @imperialnewz @LisaWinslow @SamTheAccuser @AtomSkeptic @Dracalous @estrellasadie @dinodadreviews @ReflectShade @Skywise001 @Awlinthe @Awlinthek lienware @dell ਯਕੀਨੀ ਤੌਰ 'ਤੇ ਚੂਸਦਾ ਹੈ
13901,neutral,anticipation,@woketopiansa @mBongo @MichaelDell @elonmusk @Twitter @Dell @emc ਪਰ ਕੀ ਇਹ ਮਹਾਨ ਪਿਰਾਮਿਡ ਵਿੱਚ ਹੈ?
